"Search Criteria:"

"Initial View: County"
"Well Type: Both"
"County Name: MIDLAND"
"Date Range: Jan 2020 - Mar 2026"

"Operator Name","Operator No.","Oil (BBL)","Casinghead (MCF)","GW Gas (MCF)","Condensate (BBL)"
5-POINT-SWD,953739,0,0,0,0
"ACOMA OPERATING, LLC",003606,31808,0,0,0
"ALLEDER INC.",013296,847,1488,0,0
"AMRICH OPERATING, LLC",020479,0,0,0,0
"ANTARES ENERGY COMPANY",025687,0,0,0,0
"APACHE CORPORATION",027200,59634834,185154421,1703973,30920
"AQUA TERRA PERMIAN, LLC",028618,0,0,0,0
"ARETE CREEK OPERATING, LLC",103102,270487,1922353,0,0
"ARKLAND PRODUCING CO., INC.",030791,2638,8879,0,0
"AVRA OIL COMPANY",038723,0,0,0,0
"BAM PERMIAN OPERATING, LLC",048351,6492,150923,0,0
"BASIC ENERGY SERVICES, L.P.",054313,0,0,0,0
"BASIN OIL & GAS OPERATING, LLC",054430,13259,22704,0,0
"BAYSWATER OPERATING COMPANY LLC",058827,0,0,0,0
"BETTIS, BOYLE & STOVALL",068360,3065,2491,0,0
"BIRCH OPERATIONS, INC.",071331,62093,99095,0,0
"BLACK ARROW OPERATING, LLC",072503,8890,3657,0,0
"BLACK SWAN OPERATING, LLC",072762,0,0,0,0
"BOLGER OPERATING CO.",080388,14576,0,0,0
"BREITBURN OPERATING L.P.",090732,2488,0,99983,142
"BTA OIL PRODUCERS, LLC",041867,1811308,4272540,0,0
"BURK ROYALTY CO., LTD.",108799,0,0,0,0
"BURLESON PETROLEUM, INC.",109255,50643,522969,233580,2095
"BUSTAMANTE RESOURCES LLC",112682,2124,0,0,0
"CALLON PETROLEUM OPERATING CO",124828,7770543,30027619,0,0
"CAMBRIAN MANAGEMENT, LTD.",126758,21225,38874,0,0
"CARSON BUCKLES EXPLORATION LLC",136042,0,0,81144,637
"CHEVRON MIDCONTINENT, L.P.",147862,0,0,322641,8276
"CHEVRON U. S. A. INC.",148113,114741932,358561797,473681,5096
"CITATION OIL & GAS CORP.",154235,57339,303702,0,0
"CIVITAS PERMIAN OPERATING, LLC",101577,604225,4346021,0,0
"CLEAR WATER INC.",159643,2184,6517,0,0
"COG OPERATING LLC",166150,80378990,270557282,345636,2705
"COMSTOCK ENERGY, LLC",170037,0,0,0,0
"CONOCOPHILLIPS COMPANY",172232,0,0,0,0
"CONTANGO RESOURCES, LLC",100222,827,3684,0,0
"CONTINENTAL RESOURCES, INC.",173777,807355,2837712,1601131,26618
"CRESCENT ENERGY OPERATING, LLC",103575,754699,1772867,0,0
"CROWNQUEST OPERATING, LLC",191554,36465637,139713728,192647,6696
"CUTBOW OPERATING, LLC",195763,111936,269997,0,0
"DE IV OPERATING, LLC",100168,1182972,3190018,0,0
"DE3 OPERATING LLC",518310,10385301,15836077,15533,258
"DEEP BLUE CENTRAL LLC",102459,0,0,0,0
"DEEP BLUE OPERATING I LLC",101491,0,0,0,0
"DESERT PRODUCTION, INC.",216556,0,0,0,0
"DIAMONDBACK E&P LLC",217012,111512115,469313946,147121,4366
"DIRECT MIDSTREAM LLC",102272,0,0,0,0
"DISCOVERY OPERATING, INC.",220865,20428859,39856515,48342,0
"DKL WATER GATHERING PERMIAN, LLC",102572,0,0,0,0
"DOUBLE DROP SWD, LLC",224831,0,0,0,0
"DOUBLE T ENERGY LLC",224920,0,0,0,0
"E.G.L. RESOURCES, INC.",238522,2840,0,0,0
"EARTHSTONE OPERATING, LLC",238732,5061420,13870085,0,0
"ENCANA OIL & GAS(USA) INC.",251691,725522,3347841,46,28
"ENDEAVOR ENERGY RESOURCES L.P.",251726,151813457,436948754,995900,35429
"ENVIRONMENTAL DISPOSAL SYSTEMS",253112,0,0,0,0
"ENVIRONMENTAL DSPL SYSTEMS, LLC",253105,0,0,0,0
"EOG RESOURCES, INC.",253162,0,0,0,0
"EXTEX OPERATING COMPANY",257062,61845,130693,0,0
"FASKEN OIL AND RANCH, LTD.",263696,10839776,31827910,2748197,649354
"FDL OPERATING, LLC",263924,3142,15555,0,0
"FIREBIRD ENERGY II LLC",101413,4673025,6563893,1479534,254394
"FIREBIRD ENERGY LLC",268933,1322668,1410908,0,0
"FLAT TOP OPERATING, LLC",100526,8536,288618,0,0
"FLOYD, TIMBER INC.",274426,59,0,0,0
"FOUNDERS SWD, LLC",280465,0,0,0,0
"FOURPOINT ENERGY, LLC",280969,933321,2108604,0,0
